ID	Hexagon_index
1053_at	51
121_at	207
1255_g_at	360
1438_at	60
1861_at	62
200002_at	84
200003_s_at	17
200008_s_at	4
200011_s_at	149
200013_at	1
200014_s_at	28
200017_at	32
200020_at	79
200022_at	17
200027_at	107
200028_s_at	103
200036_s_at	31
200048_s_at	47
200049_at	294
200054_at	78
200056_s_at	107
200059_s_at	46
200060_s_at	120
200063_s_at	54
200064_at	55
200065_s_at	45
200068_s_at	1
200071_at	147
200074_s_at	373
200076_s_at	51
200077_s_at	47
200079_s_at	32
200081_s_at	84
200087_s_at	186
200088_x_at	31
200089_s_at	84
200092_s_at	6
200093_s_at	161
200095_x_at	17
200096_s_at	242
200099_s_at	6
200598_s_at	148
200599_s_at	80
200600_at	147
200602_at	148
200603_at	96
200604_s_at	42
200605_s_at	174
200606_at	366
200609_s_at	108
200611_s_at	107
200613_at	46
200614_at	72
200615_s_at	299
200617_at	105
200618_at	140
200622_x_at	74
200625_s_at	104
200627_at	50
200629_at	147
200632_s_at	245
200633_at	24
200634_at	80
200635_s_at	196
200636_s_at	196
200637_s_at	248
200638_s_at	143
200639_s_at	188
200640_at	103
200643_at	46
200644_at	61
200645_at	37
200646_s_at	46
200647_x_at	55
200648_s_at	244
200649_at	71
200650_s_at	369
200654_at	1
200655_s_at	142
200656_s_at	104
200657_at	25
200658_s_at	78
200660_at	147
200663_at	102
200665_s_at	240
200669_s_at	29
200670_at	103
200673_at	147
200675_at	7
200676_s_at	93
200678_x_at	76
200681_at	74
200682_s_at	71
200691_s_at	155
200692_s_at	78
200696_s_at	246
200700_s_at	184
200701_at	368
200703_at	101
200704_at	381
200705_s_at	31
200707_at	1
200709_at	114
200710_at	8
200715_x_at	28
200717_x_at	56
200718_s_at	45
200720_s_at	95
200721_s_at	96
200722_s_at	85
200726_at	152
200729_s_at	191
200731_s_at	8
200732_s_at	65
200734_s_at	46
200737_at	367
200738_s_at	367
200742_s_at	243
200743_s_at	148
200745_s_at	63
200746_s_at	63
200747_s_at	90
200750_s_at	31
200752_s_at	105
200755_s_at	76
200756_x_at	108
200757_s_at	32
200762_at	94
200770_s_at	246
200771_at	247
200776_s_at	74
200778_s_at	28
200782_at	235
200790_at	160
200791_s_at	299
200794_x_at	220
200796_s_at	242
200798_x_at	190
200803_s_at	72
200804_at	46
200805_at	46
200806_s_at	52
200807_s_at	52
200809_x_at	53
200810_s_at	38
200813_s_at	92
200814_at	97
200818_at	116
200822_x_at	371
200824_at	27
200828_s_at	5
200832_s_at	156
200833_s_at	191
200834_s_at	84
200836_s_at	86
200837_at	52
200839_s_at	45
200840_at	31
200844_s_at	249
200845_s_at	152
200847_s_at	188
200860_s_at	50
200863_s_at	76
200866_s_at	73
200869_at	33
200870_at	15
200871_s_at	73
200872_at	364
200873_s_at	76
200875_s_at	153
200876_s_at	80
200877_at	28
200878_at	353
200879_s_at	47
200882_s_at	45
200884_at	99
200886_s_at	304
200889_s_at	297
200890_s_at	191
200891_s_at	184
200894_s_at	250
200895_s_at	83
200896_x_at	119
200897_s_at	162
200898_s_at	52
200900_s_at	150
200902_at	149
200903_s_at	309
200910_at	78
200916_at	13
200919_at	163
200922_at	156
200923_at	99
200924_s_at	149
200929_at	241
200931_s_at	26
200944_s_at	5
200947_s_at	68
200951_s_at	206
200952_s_at	321
200953_s_at	323
200954_at	25
200956_s_at	160
200963_x_at	83
200965_s_at	101
200966_x_at	369
200968_s_at	137
200971_s_at	108
200974_at	378
200975_at	241
200986_at	195
200990_at	158
200996_at	188
201002_s_at	46
201003_x_at	78
201005_at	362
201007_at	217
201011_at	146
201012_at	302
201013_s_at	249
201014_s_at	246
201015_s_at	195
201016_at	246
201017_at	112
201019_s_at	110
201021_s_at	245
201022_s_at	247
201023_at	129
201028_s_at	147
201029_s_at	142
201030_x_at	31
201031_s_at	161
201033_x_at	33
201035_s_at	90
201037_at	366
201046_s_at	37
201049_s_at	33
201050_at	20
201056_at	387
201057_s_at	323
201058_s_at	380
201059_at	27
201060_x_at	364
201061_s_at	364
201063_at	199
201064_s_at	30
201067_at	22
201069_at	72
201075_s_at	202
201077_s_at	84
201078_at	143
201079_at	74
201080_at	96
201093_x_at	88
201096_s_at	102
201098_at	141
201099_at	237
201100_s_at	294
201102_s_at	157
201103_x_at	217
201104_x_at	171
201105_at	229
201108_s_at	24
201112_s_at	113
201113_at	161
201116_s_at	314
201117_s_at	375
201124_at	373
201125_s_at	247
201128_s_at	112
201130_s_at	363
201131_s_at	365
201132_at	77
201137_s_at	53
201143_s_at	264
201144_s_at	78
201148_s_at	393
201149_s_at	165
201150_s_at	271
201151_s_at	174
201152_s_at	274
201153_s_at	274
201155_s_at	87
201156_s_at	38
201157_s_at	110
201160_s_at	304
201161_s_at	250
201162_at	141
201163_s_at	351
201168_x_at	164
201169_s_at	369
201170_s_at	367
201172_x_at	104
201174_s_at	173
201177_s_at	53
201178_at	36
201192_s_at	75
201193_at	187
201194_at	147
201195_s_at	245
201196_s_at	149
201197_at	111
201200_at	245
201201_at	105
201204_s_at	183
201207_at	63
201209_at	191
201212_at	108
201216_at	76
201218_at	239
201219_at	190
201220_x_at	44
201221_s_at	162
201222_s_at	51
201231_s_at	370
201237_at	25
201238_s_at	144
201239_s_at	70
201240_s_at	101
201242_s_at	362
201243_s_at	195
201249_at	29
201250_s_at	366
201251_at	307
201253_s_at	185
201254_x_at	55
201255_x_at	37
201259_s_at	110
201260_s_at	150
201261_x_at	167
201262_s_at	167
201268_at	52
201279_s_at	101
201284_s_at	74
201285_at	82
201286_at	220
201287_s_at	217
201288_at	232
201290_at	49
201300_s_at	191
201301_s_at	235
201302_at	235
201303_at	6
201307_at	262
201309_x_at	95
201310_s_at	94
201311_s_at	223
201312_s_at	132
201316_at	73
201317_s_at	51
201318_s_at	103
201319_at	28
201320_at	127
201324_at	23
201326_at	74
201327_s_at	151
201328_at	389
201329_s_at	209
201330_at	48
201334_s_at	132
201337_s_at	155
201340_s_at	179
201341_at	135
201345_s_at	46
201348_at	69
201349_at	364
201350_at	79
201352_at	22
201354_s_at	156
201357_s_at	163
201360_at	172
201364_s_at	71
201365_at	25
201366_at	73
201367_s_at	80
201368_at	110
201369_s_at	197
201375_s_at	78
201378_s_at	119
201379_s_at	72
201381_x_at	78
201387_s_at	138
201391_at	116
201394_s_at	93
201395_at	269
201397_at	152
201398_s_at	190
201399_s_at	146
201403_s_at	44
201404_x_at	166
201406_at	55
201407_s_at	145
201410_at	146
201412_at	45
201413_at	233
201416_at	93
201417_at	63
201418_s_at	129
201423_s_at	114
201424_s_at	191
201425_at	45
201426_s_at	90
201427_s_at	346
201428_at	149
201430_s_at	289
201431_s_at	231
201432_at	179
201435_s_at	150
201436_at	241
201438_at	297
201439_at	59
201443_s_at	235
201444_s_at	191
201446_s_at	268
201447_at	62
201454_s_at	193
201455_s_at	200
201463_s_at	70
201464_x_at	220
201466_s_at	274
201467_s_at	68
201469_s_at	106
201470_at	290
201471_s_at	70
201472_at	73
201478_s_at	150
201479_at	30
201481_s_at	9
201482_at	373
201483_s_at	154
201484_at	75
201485_s_at	199
201486_at	196
201487_at	298
201492_s_at	17
201501_s_at	192
201503_at	108
201505_at	304
201506_at	147
201510_at	13
201512_s_at	14
201520_s_at	196
201522_x_at	185
201527_at	23
201528_at	106
201529_s_at	114
201531_at	154
201532_at	75
201540_at	269
201543_s_at	184
201548_s_at	110
201549_x_at	195
201552_at	103
201553_s_at	184
201555_at	114
201556_s_at	390
201557_at	270
201559_s_at	192
201560_at	109
201573_s_at	194
201576_s_at	242
201577_at	162
201578_at	365
201586_s_at	72
201589_at	78
201590_x_at	362
201596_x_at	365
201598_s_at	20
201599_at	290
201601_x_at	193
201606_s_at	140
201609_x_at	106
201612_at	76
201613_s_at	81
201614_s_at	111
201617_x_at	241
201619_at	47
201620_at	99
201622_at	81
201623_s_at	305
201624_at	368
201633_s_at	106
201635_s_at	111
201636_at	199
201637_s_at	199
201641_at	366
201645_at	193
201646_at	98
201648_at	275
201650_at	365
201651_s_at	28
201652_at	107
201653_at	108
201654_s_at	260
201655_s_at	256
201656_at	237
201657_at	49
201659_s_at	240
201667_at	363
201668_x_at	272
201669_s_at	271
201670_s_at	272
201681_s_at	95
201682_at	28
201686_x_at	5
201688_s_at	362
201690_s_at	361
201695_s_at	300
201701_s_at	192
201705_at	46
201706_s_at	50
201725_at	29
201729_s_at	162
201731_s_at	388
201735_s_at	48
201739_at	230
201744_s_at	350
201745_at	169
201760_s_at	175
201761_at	367
201762_s_at	37
201764_at	168
201769_at	108
201772_at	299
201774_s_at	158
201778_s_at	139
201782_s_at	60
201784_s_at	78
201785_at	65
201787_at	203
201788_at	14
201790_s_at	114
201798_s_at	302
201800_s_at	45
201801_s_at	111
201802_at	373
201809_s_at	270
201810_s_at	141
201811_x_at	242
201812_s_at	106
201818_at	110
201825_s_at	62
201828_x_at	174
201831_s_at	236
201836_s_at	95
201839_s_at	365
201841_s_at	129
201842_s_at	318
201843_s_at	161
201844_s_at	233
201845_s_at	234
201846_s_at	145
201847_at	137
201848_s_at	366
201849_at	366
201850_at	243
201853_s_at	95
201854_s_at	189
201863_at	2
201864_at	175
201865_x_at	338
201866_s_at	22
201867_s_at	150
201868_s_at	28
201869_s_at	52
201870_at	83
201872_s_at	374
201874_at	193
201875_s_at	147
201883_s_at	53
201887_at	175
201889_at	361
201891_s_at	137
201892_s_at	311
201893_x_at	180
201894_s_at	70
201897_s_at	78
201898_s_at	104
201899_s_at	185
201904_s_at	205
201906_s_at	376
201908_at	91
201910_at	209
201911_s_at	160
201912_s_at	148
201921_at	297
201923_at	193
201924_at	191
201925_s_at	360
201926_s_at	362
201927_s_at	308
201928_at	198
201929_s_at	311
201934_at	63
201940_at	373
201941_at	74
201942_s_at	251
201943_s_at	196
201944_at	189
201946_s_at	79
201947_s_at	53
201948_at	152
201949_x_at	6
201950_x_at	4
201951_at	64
201952_at	129
201955_at	241
201958_s_at	325
201959_s_at	216
201960_s_at	129
201966_at	9
201968_s_at	304
201971_s_at	184
201973_s_at	139
201976_s_at	150
201981_at	30
201983_s_at	130
201989_s_at	295
201990_s_at	357
201993_x_at	60
201997_s_at	9
201998_at	112
202003_s_at	101
202008_s_at	323
202011_at	112
202013_s_at	145
202016_at	198
202017_at	180
202022_at	370
202023_at	303
202024_at	72
202026_at	359
202030_at	309
202032_s_at	269
202043_s_at	195
202052_s_at	170
202057_at	59
202069_s_at	66
202071_at	364
202075_s_at	194
202080_s_at	60
202085_at	301
202087_s_at	299
202088_at	128
202089_s_at	127
202092_s_at	40
202101_s_at	80
202107_s_at	121
202109_at	7
202112_at	13
202113_s_at	150
202117_at	45
202121_s_at	185
202124_s_at	98
202125_s_at	179
202130_at	111
