ID	Hexagon_index
AFFX-HUMISGF3A/M97935_MA_at	305
AFFX-HUMISGF3A/M97935_MB_at	249
AFFX-HUMISGF3A/M97935_3_at	59
AFFX-HUMRGE/M10098_5_at	93
AFFX-HUMRGE/M10098_M_at	23
AFFX-HUMRGE/M10098_3_at	23
AFFX-HUMGAPDH/M33197_5_at	272
AFFX-HUMGAPDH/M33197_M_at	272
AFFX-HSAC07/X00351_5_at	272
AFFX-HSAC07/X00351_M_at	272
AFFX-HUMTFRR/M11507_5_at	201
AFFX-HUMTFRR/M11507_M_at	306
AFFX-HUMTFRR/M11507_3_at	202
AFFX-M27830_5_at	93
AFFX-M27830_M_at	170
AFFX-M27830_3_at	60
AFFX-HSAC07/X00351_3_st	129
AFFX-HUMGAPDH/M33197_M_st	250
AFFX-HUMGAPDH/M33197_3_st	5
AFFX-HSAC07/X00351_M_st	117
A28102_at	251
AB000115_at	152
AB000449_at	241
AB000464_at	65
AB000468_at	237
AB000584_at	304
AB001106_at	142
AB001325_at	63
AB002315_at	148
AB002318_at	38
AB002382_at	7
AB002559_at	215
AB003177_at	98
AC000061_cds2_at	80
AC000064_cds1_at	158
AC002073_cds1_at	247
AC002115_cds1_at	219
AC002115_rna2_at	320
AF000231_at	300
AF000560_at	50
AF000562_at	168
AF002224_at	13
AF002700_at	158
AF003743_at	199
AF006041_at	60
AF006084_at	267
AF006087_at	99
AF007875_at	145
AF008445_at	306
AF008937_at	55
AF009301_at	299
AF010193_at	152
AF014958_at	152
AF015910_at	90
AF015913_at	100
AJ000480_at	213
AJ001421_at	134
D00017_at	328
D00596_at	174
D00632_at	200
D00723_at	301
D00726_at	203
D00760_at	135
D00761_at	175
D00762_at	135
D00763_at	277
D10202_at	304
D10495_at	311
D10511_at	191
D10522_at	197
D10523_at	45
D10923_at	304
D10995_at	115
D11086_at	172
D11094_at	191
D11428_at	300
D13315_at	228
D13370_at	221
D13435_at	298
D13626_at	302
D13627_at	280
D13628_at	111
D13630_at	179
D13636_at	299
D13639_at	89
D13640_at	182
D13641_at	176
D13643_at	302
D13645_at	301
D13748_at	272
D13897_rna2_at	4
D13900_at	172
D13988_at	131
D14043_at	279
D14657_at	175
D14658_at	280
D14661_at	261
D14662_at	177
D14663_at	179
D14686_at	30
D14689_at	210
D14694_at	221
D14695_at	146
D14710_at	273
D14811_at	156
D14812_at	275
D14838_at	302
D14874_at	306
D14878_at	100
D14889_at	206
D15050_at	90
D15057_at	286
D16217_at	164
D16294_at	189
D16469_at	265
D16532_at	302
D16562_at	274
D16593_at	115
D17525_at	25
D17716_at	57
D21063_at	227
D21090_at	192
D21255_at	301
D21260_at	278
D21261_at	272
D21262_at	242
D21852_at	186
D23662_at	221
D25216_at	127
D25217_at	17
D25218_at	104
D25248_at	54
D25274_at	176
D25278_at	34
D25328_at	240
D25538_at	241
D25547_at	162
D26069_at	190
D26129_at	303
D26308_at	167
D26579_at	253
D26599_at	220
D28114_at	81
D28118_at	141
D28137_at	211
D28364_at	195
D28383_at	190
D28423_at	173
D28476_at	134
D28588_at	32
D28589_at	239
D28915_at	18
D29641_at	299
D29642_at	295
D29643_at	327
D29677_at	241
D30036_at	83
D30655_at	274
D30742_at	28
D30755_at	145
D30758_at	129
D31716_at	197
D31764_at	299
D31766_at	85
D31767_at	274
D31797_at	14
D31883_at	282
D31884_at	167
D31885_at	176
D31888_at	145
D31890_at	222
D31891_at	67
D32001_at	40
D32050_at	280
D38037_at	247
D38047_at	171
D38048_at	175
D38076_at	131
D38145_at	53
D38305_at	243
D38521_at	320
D38524_at	296
D38535_at	8
D38548_at	67
D38549_at	288
D38550_at	181
D38551_at	178
D38552_at	298
D38555_at	190
D38583_at	305
D42041_at	124
D42043_at	277
D42053_at	189
D42054_at	298
D42084_at	142
D42085_at	60
D42087_at	191
D43636_at	146
D43642_at	128
D43767_at	150
D43947_at	298
D43948_at	294
D43949_at	20
D43950_at	292
D43951_at	286
D44466_at	191
D45248_at	277
D45370_at	149
D45371_at	205
D49396_at	242
D49410_at	59
D49489_at	278
D49490_at	6
D49738_at	175
D49817_at	255
D49818_at	198
D50495_at	245
D50525_at	71
D50663_at	184
D50683_at	297
D50692_at	242
D50840_at	146
D50857_at	77
D50863_at	244
D50911_at	89
D50912_at	72
D50913_at	293
D50914_at	241
D50915_at	76
D50916_at	299
D50917_at	320
D50918_at	282
D50920_at	145
D50926_at	107
D50927_at	240
D50928_at	199
D50930_at	68
D55640_at	85
D55654_at	277
D55716_at	131
D61380_at	276
D61391_at	300
D63160_at	30
D63391_at	193
D63475_at	175
D63476_at	224
D63481_at	19
D63486_at	70
D63487_at	6
D63506_at	141
D63813_at	246
D63851_at	159
D63874_at	272
D63875_at	189
D63876_at	60
D63877_at	56
D63878_at	174
D63879_at	242
D63880_at	293
D63881_at	285
D63998_at	250
D64109_at	301
D64110_at	318
D64142_at	272
D64158_at	75
D67029_at	146
D78012_at	10
D78129_at	54
D78134_at	221
D78275_at	186
D78335_at	194
D78361_at	272
D78586_at	296
D78611_at	79
D79986_at	222
D79990_at	233
D79992_at	46
D79993_at	140
D79994_at	150
D79996_at	176
D79999_at	95
D80001_at	300
D80003_at	299
D80004_at	72
D80005_at	284
D80006_at	284
D80007_at	75
D80008_at	192
D80009_at	242
D80010_at	300
D80012_at	286
D82061_at	74
D82070_at	4
D82345_at	189
D82348_at	226
D83004_at	180
D83032_at	296
D83243_at	31
D83542_at	38
D83597_at	147
D83657_at	304
D83703_at	77
D83735_at	314
D83776_at	296
D83777_at	303
D83780_at	152
D83783_at	296
D83784_at	153
D83785_at	294
D83920_at	313
D84110_at	79
D84239_at	194
D84276_at	300
D84294_at	283
D84307_at	6
D84557_at	175
D85245_at	36
D85429_at	282
D85527_at	19
D85758_at	223
D85815_at	23
D85939_at	247
D86479_at	94
D86549_at	192
D86956_at	242
D86961_at	301
D86962_at	287
D86964_at	104
D86967_at	277
D86970_at	291
D86971_at	299
D86972_at	143
D86973_at	238
D86976_at	279
D86978_at	237
D86979_at	60
D86983_at	23
D86985_at	243
D87023_cds2_at	34
D87071_at	108
D87073_at	31
D87074_at	300
D87075_at	192
D87076_at	292
D87078_at	293
D87116_at	322
D87119_at	189
D87120_at	301
D87292_at	289
D87433_at	311
D87434_at	201
D87435_at	85
D87436_at	299
D87438_at	18
D87442_at	166
D87445_at	78
D87446_at	297
D87447_at	191
D87448_at	300
D87450_at	240
D87451_at	216
D87452_at	185
D87453_at	293
D87455_at	295
D87459_at	301
D87460_at	61
D87462_at	65
D87464_at	192
D87465_at	109
D87466_at	240
D87469_at	50
D87673_at	40
D87684_at	230
D87937_at	146
D87953_at	216
D87969_at	298
D88270_at	290
D88422_at	312
D88613_at	4
D89016_at	90
D89052_at	265
D89077_at	74
D89667_at	330
D90084_at	163
D90086_at	97
D90209_at	274
D90224_at	301
D90276_at	35
HG1078-HT1078_at	129
HG1102-HT1102_at	320
HG1112-HT1112_at	172
HG1153-HT1153_at	274
HG1205-HT1205_at	30
HG1612-HT1612_at	275
HG1614-HT1614_at	277
HG1649-HT1652_at	128
HG1804-HT1829_at	122
HG1862-HT1897_at	275
HG1869-HT1904_at	226
HG1872-HT1907_at	216
HG1879-HT1919_at	203
HG2036-HT2090_at	149
HG2059-HT2114_at	213
HG2167-HT2237_at	262
HG2247-HT2332_at	151
HG2264-HT2360_at	114
HG2274-HT2370_at	186
HG2279-HT2375_at	219
HG2290-HT2386_at	25
HG2320-HT2416_at	20
HG2325-HT2421_at	38
HG2415-HT2511_at	106
HG2463-HT2559_at	209
HG2480-HT2576_at	81
HG2525-HT2621_at	258
HG2602-HT2698_at	195
HG2715-HT2811_at	39
HG2724-HT2820_at	307
HG2788-HT2896_at	328
HG2810-HT2921_at	309
HG2825-HT2949_at	298
HG2855-HT2995_at	277
HG2874-HT3018_at	180
HG2992-HT5186_at	109
HG3039-HT3200_at	169
HG3088-HT3263_at	300
HG3162-HT3339_at	39
