ID	Hexagon_index
acantholytic squamous carcinoma cell line	88
acute lymphoblastic leukemia (b-all) cell line	112
acute lymphoblastic leukemia (t-all) cell line	52
acute myeloid leukemia (fab m0) cell line	115
acute myeloid leukemia (fab m1) cell line	85
acute myeloid leukemia (fab m2) cell line	113
acute myeloid leukemia (fab m3) cell line	112
acute myeloid leukemia (fab m4) cell line	112
acute myeloid leukemia (fab m4eo) cell line	79
acute myeloid leukemia (fab m5) cell line	114
acute myeloid leukemia (fab m6) cell line	111
acute myeloid leukemia (fab m7) cell line	115
adenocarcinoma cell line	35
adrenal cortex adenocarcinoma cell line	122
adult t-cell leukemia cell line	55
alveolar cell carcinoma cell line	57
anaplastic carcinoma cell line	124
anaplastic large cell lymphoma cell line	116
anaplastic squamous cell carcinoma cell line	121
argyrophil small cell carcinoma cell line	88
astrocytoma cell line	124
b cell line	83
basal cell carcinoma cell line	25
bile duct carcinoma cell line	33
biphenotypic b myelomonocytic leukemia cell line	85
bone marrow stromal cell line	3
breast carcinoma cell line	54
bronchial squamous cell carcinoma cell line	36
bronchioalveolar carcinoma cell line	8
bronchogenic carcinoma cell line	57
burkitt's lymphoma cell line	113
carcinoid cell line	113
carcinosarcoma cell line	124
cervical cancer cell line	31
cholangiocellular carcinoma cell line	20
chondrosarcoma cell line	9
choriocarcinoma cell line	81
chronic lymphocytic leukemia (t-cll) cell line	112
chronic myeloblastic leukemia (cml) cell line	119
chronic myelogenous leukemia (cml) cell line	85
chronic myelogenous leukemia cell line	113
clear cell carcinoma cell line	30
colon carcinoma cell line	31
cord blood derived cell line	112
diffuse large b-cell lymphoma cell line	113
ductal cell carcinoma cell line	32
embryonic kidney cell line	122
embryonic pancreas cell line	8
endometrial carcinoma cell line	20
endometrial stromal sarcoma cell line	123
endometrioid adenocarcinoma cell line	121
epidermoid carcinoma  cell line	8
epidermoid carcinoma cell line	8
epithelioid sarcoma cell line	123
ewing's sarcoma cell line	67
extraskeletal myxoid chondrosarcoma cell line	123
fibrosarcoma cell line	8
fibrous histiocytoma cell line	18
gall bladder carcinoma cell line	57
gastric adenocarcinoma cell line	33
gastric cancer cell line	122
gastrointestinal carcinoma cell line	87
giant cell carcinoma cell line	52
glassy cell carcinoma cell line	36
glioblastoma cell line	35
glioma cell line	124
granulosa cell tumor cell line	59
hairy cell leukemia cell line	53
hepatic mesenchymal tumor cell line	44
hepatoblastoma cell line	118
hepatoma cell line	35
hereditary spherocytic anemia cell line	52
hodgkin's lymphoma cell line	81
keratoacanthoma cell line	2
krukenberg tumor cell line	35
large cell lung carcinoma cell line	114
large cell non-keratinizing squamous carcinoma cell line	60
leiomyoblastoma  cell line	121
leiomyoma cell line	106
leiomyosarcoma  cell line	40
lens epithelial cell line	125
liposarcoma cell line	56
lung adenocarcinoma cell line	15
lymphangiectasia cell line	53
malignant trichilemmal cyst cell line	59
maxillary sinus tumor cell line	123
medulloblastoma cell line	81
melanoma cell line	31
meningioma cell line	2
merkel cell carcinoma cell line	85
mesenchymal stem cell line	11
mesodermal tumor cell line	124
mesothelioma cell line	31
