ID	Hexagon_index	Cluster_base
1053_at	51	1
121_at	207	5
1255_g_at	360	10
1438_at	60	3
1861_at	62	3
200002_at	84	1
200003_s_at	17	1
200008_s_at	4	1
200011_s_at	149	10
200013_at	1	1
200014_s_at	28	1
200017_at	32	1
200020_at	79	1
200022_at	17	1
200027_at	107	4
200028_s_at	103	4
200036_s_at	31	1
200048_s_at	47	4
200049_at	294	10
200054_at	78	1
200056_s_at	107	4
200059_s_at	46	4
200060_s_at	120	5
200063_s_at	54	1
200064_at	55	1
200065_s_at	45	4
200068_s_at	1	1
200071_at	147	4
200074_s_at	373	11
200076_s_at	51	1
200077_s_at	47	4
200079_s_at	32	1
200081_s_at	84	1
200087_s_at	186	4
200088_x_at	31	1
200089_s_at	84	1
200092_s_at	6	1
200093_s_at	161	5
200095_x_at	17	1
200096_s_at	242	10
200099_s_at	6	1
200598_s_at	148	10
200599_s_at	80	1
200600_at	147	4
200602_at	148	10
200603_at	96	2
200604_s_at	42	2
200605_s_at	174	8
200606_at	366	10
200609_s_at	108	4
200611_s_at	107	4
200613_at	46	4
200614_at	72	4
200615_s_at	299	10
200617_at	105	4
200618_at	140	4
200622_x_at	74	4
200625_s_at	104	4
200627_at	50	1
200629_at	147	4
200632_s_at	245	10
200633_at	24	2
200634_at	80	1
200635_s_at	196	11
200636_s_at	196	11
200637_s_at	248	11
200638_s_at	143	4
200639_s_at	188	4
200640_at	103	4
200643_at	46	4
200644_at	61	3
200645_at	37	3
200646_s_at	46	4
200647_x_at	55	1
200648_s_at	244	10
200649_at	71	4
200650_s_at	369	11
200654_at	1	1
200655_s_at	142	4
200656_s_at	104	4
200657_at	25	1
200658_s_at	78	1
200660_at	147	4
200663_at	102	4
200665_s_at	240	10
200669_s_at	29	1
200670_at	103	4
200673_at	147	4
200675_at	7	5
200676_s_at	93	3
200678_x_at	76	1
200681_at	74	4
200682_s_at	71	4
200691_s_at	155	11
200692_s_at	78	1
200696_s_at	246	10
200700_s_at	184	4
200701_at	368	11
200703_at	101	4
200704_at	381	5
200705_s_at	31	1
200707_at	1	1
200709_at	114	1
200710_at	8	3
200715_x_at	28	1
200717_x_at	56	1
200718_s_at	45	4
200720_s_at	95	2
200721_s_at	96	2
200722_s_at	85	5
200726_at	152	11
200729_s_at	191	4
200731_s_at	8	3
200732_s_at	65	2
200734_s_at	46	4
200737_at	367	11
200738_s_at	367	11
200742_s_at	243	10
200743_s_at	148	10
200745_s_at	63	3
200746_s_at	63	3
200747_s_at	90	3
200750_s_at	31	1
200752_s_at	105	4
200755_s_at	76	1
200756_x_at	108	4
200757_s_at	32	1
200762_at	94	3
200770_s_at	246	10
200771_at	247	11
200776_s_at	74	4
200778_s_at	28	1
200782_at	235	10
200790_at	160	5
200791_s_at	299	10
200794_x_at	220	8
200796_s_at	242	10
200798_x_at	190	4
200803_s_at	72	4
200804_at	46	4
200805_at	46	4
200806_s_at	52	1
200807_s_at	52	1
200809_x_at	53	1
200810_s_at	38	3
200813_s_at	92	3
200814_at	97	2
200818_at	116	11
200822_x_at	371	11
200824_at	27	1
200828_s_at	5	1
200832_s_at	156	11
200833_s_at	191	4
200834_s_at	84	1
200836_s_at	86	5
200837_at	52	1
200839_s_at	45	4
200840_at	31	1
200844_s_at	249	11
200845_s_at	152	11
200847_s_at	188	4
200860_s_at	50	1
200863_s_at	76	1
200866_s_at	73	4
200869_at	33	1
200870_at	15	1
200871_s_at	73	4
200872_at	364	10
200873_s_at	76	1
200875_s_at	153	11
200876_s_at	80	1
200877_at	28	1
200878_at	353	9
200879_s_at	47	4
200882_s_at	45	4
200884_at	99	2
200886_s_at	304	11
200889_s_at	297	10
200890_s_at	191	4
200891_s_at	184	4
200894_s_at	250	11
200895_s_at	83	1
200896_x_at	119	5
200897_s_at	162	5
200898_s_at	52	1
200900_s_at	150	11
200902_at	149	10
200903_s_at	309	11
200910_at	78	1
200916_at	13	1
200919_at	163	5
200922_at	156	11
200923_at	99	2
200924_s_at	149	10
200929_at	241	10
200931_s_at	26	4
200944_s_at	5	1
200947_s_at	68	2
200951_s_at	206	5
200952_s_at	321	7
200953_s_at	323	7
200954_at	25	1
200956_s_at	160	5
200963_x_at	83	1
200965_s_at	101	4
200966_x_at	369	11
200968_s_at	137	2
200971_s_at	108	4
200974_at	378	5
200975_at	241	10
200986_at	195	10
200990_at	158	5
200996_at	188	4
201002_s_at	46	4
201003_x_at	78	1
201005_at	362	10
201007_at	217	3
201011_at	146	4
201012_at	302	10
201013_s_at	249	11
201014_s_at	246	10
201015_s_at	195	10
201016_at	246	10
201017_at	112	1
201019_s_at	110	10
201021_s_at	245	10
201022_s_at	247	11
201023_at	129	3
201028_s_at	147	4
201029_s_at	142	4
201030_x_at	31	1
201031_s_at	161	5
201033_x_at	33	1
201035_s_at	90	3
201037_at	366	10
201046_s_at	37	3
201049_s_at	33	1
201050_at	20	3
201056_at	387	7
201057_s_at	323	7
201058_s_at	380	5
201059_at	27	1
201060_x_at	364	10
201061_s_at	364	10
201063_at	199	11
201064_s_at	30	1
201067_at	22	2
201069_at	72	4
201075_s_at	202	11
201077_s_at	84	1
201078_at	143	4
201079_at	74	4
201080_at	96	2
201093_x_at	88	6
201096_s_at	102	4
201098_at	141	4
201099_at	237	10
201100_s_at	294	10
201102_s_at	157	11
201103_x_at	217	3
201104_x_at	171	8
201105_at	229	2
