ID	Hexagon_index	Cluster_base
Xkr4	446	4
Rp1h	695	6
Sox17	316	5
Mrpl15	457	20
Lypla1	457	20
Tcea1	385	20
Rgs20	320	21
Atp6v1h	259	21
Oprk1	690	4
Rb1cc1	687	3
St18	444	4
Pcmtd1	316	5
Sntg1	692	4
Rrs1	213	22
Adhfe1	213	22
3110035E14Rik	188	12
Mybl1	219	13
Vcpip1	24	12
Sgk3	338	14
4930418G15Rik	405	14
Cops5	335	13
Cspp1	274	13
Cpa6	200	2
C030045D06Rik	317	21
A830018L16Rik	318	21
Sulf1	20	34
Slco5a1	389	23
Prdm14	475	15
Ncoa2	474	15
Tram1	634	15
Lactb2	456	20
Xkr9	454	31
Eya1	599	3
Msc	375	6
Trpa1	376	6
Terf1	161	21
Gm106	121	21
Rpl7	79	32
Rdh10	79	32
Stau2	249	39
Ube2w	75	12
Tceb1	27	12
Tmem70	13	34
Ly96	28	34
Jph1	310	2
Gdap1	380	5
Pi15	607	6
Crispld1	607	6
Crisp4	607	6
Defb41	525	6
Defb17	525	6
Tcfap2d	695	6
Tcfap2b	608	6
Pkhd1	689	4
Il17a	155	2
Il17f	114	32
Mcm3	113	39
Paqr8	113	39
Tram2	113	39
Tmem14a	156	5
Gsta3	155	2
Ndg1	253	5
BC099381	311	5
Kcnq5	311	5
Rims1	606	6
Ogfrl1	688	4
B3gat2	523	4
Smap1	450	5
1110058L19Rik	452	31
4921533L14Rik	452	31
Col9a1	444	4
Col19a1	444	4
Lmbrd1	690	4
Bai3	445	4
4931408C20Rik	447	6
Gm597	447	6
Phf3	204	5
Ptp4a1	204	5
4931428L18Rik	312	5
Gluld1	375	6
4930521A18Rik	693	4
Khdrbs2	446	4
Prim2	116	32
Rab23	282	8
Bag2	282	8
Zfp451	227	8
B230209C24Rik	282	8
Dst	469	17
Imp4	475	15
Ptpn18	474	15
Tesp1	62	22
Cfc1	62	22
Tesp2	62	22
9430069J07Rik	62	22
Arhgef4	454	31
BC043098	80	32
Plekhb2	114	32
Hs6st1	343	8
Ugcgl1	565	7
Lincr	412	9
Arid5a	651	7
4632411B12Rik	651	7
Lman2l	414	11
Cnnm4	651	7
Cnnm3	651	7
Ankrd23	652	7
Ankrd39	567	7
BC050210	349	10
Cox5b	565	7
Actr1b	650	7
Zap70	409	8
Tmem131	408	8
A230074B11Rik	336	13
4921511C04Rik	389	23
Cnga3	389	23
Inpp4a	461	23
6330578E17Rik	123	21
Unc50	123	21
Mgat4a	123	21
Tsga10	165	23
Mrpl30	170	13
Gm776	170	13
2300002O18Rik	219	13
Txndc9	170	13
Eif5b	218	13
Lonrf2	303	36
Chst10	303	36
Nms	304	36
Pdcl3	80	32
Npas2	113	39
Rpl31	622	24
Tbc1d8	622	24
D1Bwg0212e	137	8
Rnf149	342	8
Creg2	660	10
Map4k4	660	10
Il1r2	437	36
Il1r1	685	3
Il1rl2	685	3
Il1rl1	687	3
Il18r1	687	3
Il18rap	686	3
Slc9a4	687	3
Slc9a2	687	3
Pou3f3	698	6
Mrps9	698	6
Gpr45	596	1
Tgfbrap1	514	1
AI597479	513	1
Fhl2	513	1
Nck2	684	1
1500015O10Rik	197	39
Uxs1	152	39
Tpp2	663	26
A530098C11Rik	662	26
Kdelc1	76	38
Bivm	50	38
Ercc5	78	38
4832428D23Rik	113	39
Gulp1	688	4
Col3a1	686	3
Col5a2	686	3
Wdr75	597	3
Slc40a1	597	3
Slc39a10	254	5
C230029F24Rik	523	4
Tmeff2	689	4
