ID	Hexagon_index	Cluster_base
acantholytic squamous carcinoma cell line	88	11
acute lymphoblastic leukemia (b-all) cell line	112	2
acute lymphoblastic leukemia (t-all) cell line	52	2
acute myeloid leukemia (fab m0) cell line	115	2
acute myeloid leukemia (fab m1) cell line	85	9
acute myeloid leukemia (fab m2) cell line	113	2
acute myeloid leukemia (fab m3) cell line	112	2
acute myeloid leukemia (fab m4) cell line	112	2
acute myeloid leukemia (fab m4eo) cell line	79	2
acute myeloid leukemia (fab m5) cell line	114	2
acute myeloid leukemia (fab m6) cell line	111	1
acute myeloid leukemia (fab m7) cell line	115	2
adenocarcinoma cell line	35	8
adrenal cortex adenocarcinoma cell line	122	9
adult t-cell leukemia cell line	55	2
alveolar cell carcinoma cell line	57	8
anaplastic carcinoma cell line	124	11
anaplastic large cell lymphoma cell line	116	2
anaplastic squamous cell carcinoma cell line	121	9
argyrophil small cell carcinoma cell line	88	11
astrocytoma cell line	124	11
b cell line	83	2
basal cell carcinoma cell line	25	5
bile duct carcinoma cell line	33	9
biphenotypic b myelomonocytic leukemia cell line	85	9
bone marrow stromal cell line	3	5
breast carcinoma cell line	54	2
bronchial squamous cell carcinoma cell line	36	8
bronchioalveolar carcinoma cell line	8	7
bronchogenic carcinoma cell line	57	8
burkitt's lymphoma cell line	113	2
carcinoid cell line	113	2
carcinosarcoma cell line	124	11
cervical cancer cell line	31	2
cholangiocellular carcinoma cell line	20	10
chondrosarcoma cell line	9	7
choriocarcinoma cell line	81	2
chronic lymphocytic leukemia (t-cll) cell line	112	2
chronic myeloblastic leukemia (cml) cell line	119	2
chronic myelogenous leukemia (cml) cell line	85	9
chronic myelogenous leukemia cell line	113	2
clear cell carcinoma cell line	30	2
colon carcinoma cell line	31	2
cord blood derived cell line	112	2
diffuse large b-cell lymphoma cell line	113	2
ductal cell carcinoma cell line	32	2
embryonic kidney cell line	122	9
embryonic pancreas cell line	8	7
endometrial carcinoma cell line	20	10
endometrial stromal sarcoma cell line	123	11
endometrioid adenocarcinoma cell line	121	9
epidermoid carcinoma  cell line	8	7
epidermoid carcinoma cell line	8	7
epithelioid sarcoma cell line	123	11
ewing's sarcoma cell line	67	6
extraskeletal myxoid chondrosarcoma cell line	123	11
fibrosarcoma cell line	8	7
fibrous histiocytoma cell line	18	8
gall bladder carcinoma cell line	57	8
gastric adenocarcinoma cell line	33	9
gastric cancer cell line	122	9
gastrointestinal carcinoma cell line	87	9
giant cell carcinoma cell line	52	2
glassy cell carcinoma cell line	36	8
glioblastoma cell line	35	8
glioma cell line	124	11
granulosa cell tumor cell line	59	8
hairy cell leukemia cell line	53	2
hepatic mesenchymal tumor cell line	44	6
hepatoblastoma cell line	118	2
hepatoma cell line	35	8
hereditary spherocytic anemia cell line	52	2
hodgkin's lymphoma cell line	81	2
keratoacanthoma cell line	2	7
krukenberg tumor cell line	35	8
large cell lung carcinoma cell line	114	2
large cell non-keratinizing squamous carcinoma cell line	60	10
leiomyoblastoma  cell line	121	9
leiomyoma cell line	106	1
leiomyosarcoma  cell line	40	10
lens epithelial cell line	125	10
liposarcoma cell line	56	9
lung adenocarcinoma cell line	15	5
lymphangiectasia cell line	53	2
malignant trichilemmal cyst cell line	59	8
maxillary sinus tumor cell line	123	11
medulloblastoma cell line	81	2
melanoma cell line	31	2
meningioma cell line	2	7
merkel cell carcinoma cell line	85	9
mesenchymal stem cell line	11	5
mesodermal tumor cell line	124	11
mesothelioma cell line	31	2
mixed mullerian tumor cell line	5	5
mucinous adenocarcinoma cell line	5	5
mucinous cystadenocarcinoma  cell line	18	8
myelodysplastic syndrome cell line	6	7
myeloma cell line	53	2
myxofibrosarcoma cell line	6	7
neuroblastoma cell line	121	9
neuroectodermal tumor  cell line	120	9
neuroectodermal tumor cell line	114	2
neuroepithelioma cell line	122	9
neurofibroma cell line	24	5
nk t cell leukemia cell line	82	2
non t non b acute lymphoblastic leukemia (all) cell line	122	9
non-small cell lung cancer cell line	121	9
normal embryonic palatal mesenchymal cell line	23	6
normal intestinal epithelial cell line	10	5
oral squamous cell carcinoma cell line	7	7
osteoclastoma cell line	42	6
osteosarcoma cell line	6	7
pagetoid sarcoma cell line	88	11
pancreatic carcinoma cell line	119	2
papillary adenocarcinoma cell line	8	7
papillotubular adenocarcinoma cell line	59	8
peripheral neuroectodermal tumor cell line	2	7
pharyngeal carcinoma cell line	9	7
plasma cell leukemia cell line	53	2
pleomorphic hepatocellular carcinoma cell line	2	7
prostate cancer cell line	15	5
rectal cancer cell line	2	7
renal cell carcinoma cell line	7	7
retinoblastoma cell line	121	9
rhabdomyosarcoma cell line	80	2
sacrococcigeal teratoma cell line	22	7
serous adenocarcinoma cell line	20	10
serous cystadenocarcinoma cell line	58	8
signet ring carcinoma cell line	116	2
small cell cervical cancer cell line	121	9
small cell gastrointestinal carcinoma cell line	123	11
small cell lung carcinoma cell line	121	9
small-cell gastrointestinal carcinoma cell line	86	9
somatostatinoma cell line	122	9
spindle cell sarcoma cell line	23	6
splenic lymphoma with villous lymphocytes cell line	81	2
squamous cell carcinoma cell line	15	5
squamous cell lung carcinoma cell line	57	8
synovial sarcoma cell line	123	11
teratocarcinoma cell line	53	2
testicular germ cell embryonal carcinoma cell line	7	7
thyroid carcinoma cell line	123	11
achilles tendon	102	6
adipocyte - breast	45	5
adipocyte - omental	105	1
adipocyte - perirenal	45	5
adipocyte - subcutaneous	107	1
adipocyte differentiation	24	5
adipose tissue	94	3
adrenal gland	127	4
alveolar epithelial cells	75	1
amniotic epithelial cells	14	5
amniotic membrane cells	57	8
amygdala	127	4
amygdala - adult	61	10
anulus pulposus cell	68	6
aorta	94	3
aortic smooth muscle cell response to fgf2	73	1
aortic smooth muscle cell response to il1b	105	1
appendix	93	3
artery	98	6
astrocyte - cerebellum	13	5
astrocyte - cerebral cortex	124	11
b lymphoblastoid cell line: gm12878 encode	16	2
basophils	117	2
bladder	94	3
blood	82	2
bone marrow	72	1
brain	59	8
breast	94	3
bronchial epithelial cell	75	1
cardiac myocyte	105	1
caudate nucleus	127	4
caudate nucleus - adult	91	4
cd133+ stem cells - adult bone marrow derived	85	9
cd133+ stem cells - cord blood derived	7	7
cd14-cd16+ monocytes	52	2
cd14+ monocyte derived endothelial progenitor cells	83	2
cd14+ monocytes	118	2
cd14+ monocytes - mock treated	118	2
cd14+ monocytes - treated with b-glucan	117	2
cd14+ monocytes - treated with bcg	117	2
cd14+ monocytes - treated with candida	117	2
cd14+ monocytes - treated with cryptococcus	117	2
cd14+ monocytes - treated with group a streptococci	117	2
cd14+ monocytes - treated with ifn + n-hexane	118	2
cd14+ monocytes - treated with lipopolysaccharide	78	2
cd14+ monocytes - treated with salmonella	78	2
cd14+ monocytes - treated with trehalose dimycolate (tdm)	118	2
cd14+cd16- monocytes	117	2
cd14+cd16+ monocytes	112	2
cd19+ b cells	115	2
cd19+ b cells (pluriselect)	114	2
cd34+ progenitors	118	2
cd34+ stem cells - adult bone marrow derived	84	2
cd4+ t cells	115	2
cd4+cd25-cd45ra- memory conventional t cells	115	2
cd4+cd25-cd45ra- memory conventional t cells expanded	54	2
cd4+cd25-cd45ra+ memory conventional t cells expanded	81	2
cd4+cd25-cd45ra+ naive conventional t cells	115	2
cd4+cd25-cd45ra+ naive conventional t cells expanded	81	2
cd4+cd25+cd45ra- memory regulatory t cells	113	2
cd4+cd25+cd45ra- memory regulatory t cells expanded	81	2
cd4+cd25+cd45ra- naive regulatory t cells expanded	53	2
cd4+cd25+cd45ra+ naive regulatory t cells	115	2
cd4+cd25+cd45ra+ naive regulatory t cells expanded	81	2
cd8+ t cells	83	2
cd8+ t cells (pluriselect)	81	2
cerebellum	125	10
cerebellum - adult	90	10
cerebral meninges	127	4
cerebrospinal fluid	13	5
cervix	93	3
chondrocyte - de diff	46	1
chondrocyte - re diff	45	5
chorionic membrane cells	1	7
chronic myelogenous leukemia cell line:k562 encode	114	2
ciliary epithelial cells	22	7
clontech human universal reference total rna	93	3
colon	95	3
common myeloid progenitor cmp	111	1
corneal epithelial cells	75	1
corpus callosum	127	4
cruciate ligament	98	6
dendritic cells - monocyte immature derived	16	2
dendritic cells - plasmacytoid	115	2
diaphragm	95	3
diencephalon	126	4
ductus deferens	65	3
duodenum fetal	66	10
dura mater	93	3
embryonic kidney cell line: hek293/slam infection	122	9
endothelial cells - aortic	17	8
endothelial cells - artery	33	9
endothelial cells - lymphatic	35	8
endothelial cells - microvascular	15	5
endothelial cells - thoracic	33	9
endothelial cells - umbilical vein	87	9
endothelial cells - vein	30	2
eosinophils	117	2
epididymis	93	3
epitheloid carcinoma cell line: helas3 encode	33	9
esophageal epithelial cells	108	1
esophagus	94	3
eye	93	3
eye - muscle inferior rectus	103	1
eye - muscle lateral	103	1
eye - muscle medial	101	6
eye - muscle superior	98	6
eye - vitreous humor	5	5
fibroblast - aortic adventitial	24	5
fibroblast - cardiac	24	5
fibroblast - choroid plexus	27	5
fibroblast - conjunctival	46	1
fibroblast - dermal	27	5
fibroblast - gingival	43	6
fibroblast - lung	109	1
fibroblast - lymphatic	107	1
fibroblast - mammary	107	1
fibroblast - periodontal ligament	11	5
fibroblast - pulmonary artery	11	5
fibroblast - skin dystrophia myotonica	42	6
fibroblast - skin normal	42	6
fibroblast - skin spinal muscular atrophy	42	6
fibroblast - skin walker warburg	42	6
fibroblast - villous mesenchymal	28	5
fingernail (including nail plate	4	5
frontal lobe	127	4
gall bladder	94	3
gingival epithelial cells	1	7
glioblastoma cell line:a172	59	8
globus pallidus	126	4
globus pallidus - adult	39	10
granulocyte macrophage progenitor	110	1
h9 embryoid body cells melanocytic induction	60	10
h9 embryonic stem cells	124	11
hair follicle dermal papilla cells	48	1
hair follicle outer root sheath cells	46	1
heart	98	6
heart - mitral valve	95	3
heart - pulmonic valve	98	6
heart - tricuspid valve	98	6
heart adult	98	6
hep-2 cells mock treated	29	5
hep-2 cells treated with streptococci strain 5448	29	5
hep-2 cells treated with streptococci strain jrs4	50	1
hepatic sinusoidal endothelial cells	108	1
hepatic stellate cells (lipocyte)	75	1
hepatocellular carcinoma cell line: hepg2 encode	3	5
hepatocyte	109	1
hes3-gfp embryonic stem cells cardiomyocytic induction	4	5
hippocampus	127	4
hippocampus - adult	61	10
immature langerhans cells	117	2
insula	127	4
intestinal epithelial cells (polarized)	60	10
ips differentiation to neuron control donor c11-crl2429	89	10
ips differentiation to neuron control donor c32-crl1502	89	10
