ID	Hexagon_index	Cluster_base
At3g57450	138	5
At2g06005	176	1
At4g11310	8	1
At1g65930	311	11
At2g06010	269	14
At2g20450	188	8
At4g11320	321	13
At3g27380	184	5
At5g18250	38	1
At5g25470	27	3
At1g12990	68	5
At5g54900	297	8
At1g28640	165	1
At2g06025	123	1
At2g20465	291	8
At4g34200	251	10
At5g48350	289	7
At3g26740	285	7
At3g26744	308	10
At1g05790	37	1
At3g57490	201	11
At4g34215	107	3
At3g03880	14	3
At5g48360	201	11
At2g20490	296	8
At4g11360	273	6
At2g43360	113	4
At1g65980	164	1
At5g47720	266	14
At4g11370	219	6
At2g13290	42	5
At2g42720	26	3
At2g36160	48	3
At5g54960	62	1
At3g26790	260	12
At2g35510	36	1
At2g36170	191	8
At3g56880	214	14
At2g42740	145	8
At2g28310	107	3
At4g03540	77	3
At5g09810	158	12
At1g22050	9	1
At3g20140	138	5
At4g27070	331	6
At4g10770	16	2
At4g19200	4	3
At4g26420	62	1
At5g39910	79	4
At1g21410	221	14
At4g03560	281	7
At5g09830	284	7
At5g11030	21	1
At4g27090	27	3
At1g14200	217	14
At2g42790	219	6
At5g11040	15	4
At5g39930	238	8
At5g09850	184	5
At4g33670	60	1
At4g02930	198	10
At5g10400	191	8
At1g74410	173	14
At3g05120	277	14
At5g03210	279	14
At4g25830	185	8
At5g64040	115	11
At4g25840	145	8
At1g44350	173	14
At3g28007	181	5
At2g04890	136	5
At1g13610	105	8
At4g02980	42	5
At3g11700	101	5
At4g25850	100	5
At1g43700	91	1
At5g33320	116	11
At1g06400	9	1
At3g11710	194	9
At2g27770	71	5
At4g25860	139	5
At1g37150	64	1
At3g28020	242	9
At2g19900	267	14
At3g05160	263	13
At4g18650	326	14
At4g25870	191	8
At5g64080	160	12
At1g67250	242	9
At1g13640	91	1
At1g07080	326	14
At1g74470	56	2
At5g56210	60	1
At3g12390	197	10
At4g18660	91	1
At5g10480	117	12
At5g40570	9	1
At1g07090	285	7
At5g02610	302	9
At4g25890	298	9
At3g28050	38	1
At2g19930	217	14
At5g49015	178	5
At4g18680	274	6
At1g67280	213	14
At5g49020	195	9
At5g62800	262	13
At1g50980	62	1
At5g62810	85	2
