EnsemblGeneID	Cellline1_CON	Cellline1_DEX	Cellline2_CON	Cellline2_DEX	Cellline3_CON	Cellline3_DEX
ENSG00000000003	2104	1306	2937	2376	2344	1552
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	2493	2335	2691	2863	3391	2779
ENSG00000000457	506	431	449	451	385	316
ENSG00000000460	957	1212	240	225	343	239
ENSG00000000938	3	5	0	0	0	1
ENSG00000000971	13134	8200	10004	7339	2678	2297
ENSG00000001036	4776	4244	3224	3202	2730	2532
ENSG00000001084	1563	1153	1206	1262	1243	1208
ENSG00000001167	2182	1677	2749	2710	2142	1629
ENSG00000001460	507	599	622	703	656	692
ENSG00000001461	2772	2667	5809	6508	4260	4148
ENSG00000001497	5127	3828	4246	3508	3449	2546
ENSG00000001561	2048	2039	1471	1398	1780	1629
ENSG00000001617	984	707	1583	1620	1327	1400
ENSG00000001626	792	277	1907	873	1351	359
ENSG00000001629	5134	4162	5283	5239	5233	4580
ENSG00000001630	249	243	297	360	318	398
ENSG00000001631	1707	1493	1624	1582	1647	1367
ENSG00000002016	617	504	574	480	490	353
ENSG00000002079	165	67	14	5	157	29
ENSG00000002330	351	334	298	288	416	453
ENSG00000002549	3449	2964	3168	3190	2717	2303
ENSG00000002586	8436	7738	5047	5921	6851	7515
ENSG00000002587	418	137	465	209	437	175
ENSG00000002726	0	0	1	0	4	2
ENSG00000002745	3	2	2	1	2	0
ENSG00000002746	60	68	748	563	78	92
ENSG00000002822	2667	2181	1687	1607	1717	1567
ENSG00000002834	40339	34183	37392	40568	31565	29817
ENSG00000002919	2275	2040	1826	1925	2019	2107
ENSG00000002933	2	0	0	0	0	0
ENSG00000003056	7990	6118	8711	7734	6050	4708
ENSG00000003096	3311	2017	4946	3961	2533	1211
ENSG00000003137	111	80	6	6	169	103
ENSG00000003147	432	314	650	505	435	308
ENSG00000003249	1525	1481	2208	2493	1692	1553
ENSG00000003393	3985	3032	5740	4377	4087	2903
ENSG00000003400	1395	842	711	510	524	358
ENSG00000003402	11661	13604	17070	21592	14321	18303
ENSG00000003436	1182	1221	2178	2160	1770	1372
ENSG00000003509	923	757	1041	957	956	824
ENSG00000003756	7414	5857	6712	6455	5649	4904
ENSG00000003987	1055	870	111	104	204	148
ENSG00000003989	20995	11187	430	538	849	612
ENSG00000004059	3866	3490	4291	4545	3859	3790
ENSG00000004139	247	190	54	57	224	210
ENSG00000004142	5163	4503	4204	4668	4297	4186
ENSG00000004399	6850	5779	1354	1015	3525	4108
ENSG00000004455	5668	4665	6240	6481	5116	4451
ENSG00000004468	1	0	0	1	1	1
ENSG00000004478	3606	2538	4010	4012	3920	2874
ENSG00000004487	5712	4801	5695	5940	5757	4942
ENSG00000004534	4210	3366	4741	4634	4675	3829
ENSG00000004660	770	645	1263	1032	968	925
ENSG00000004700	3425	3294	2095	2001	2248	1691
ENSG00000004766	1553	1437	1587	1624	1410	1253
ENSG00000004776	10	8	6	2	74	88
ENSG00000004777	858	839	298	256	320	277
ENSG00000004779	1220	1095	1116	1055	1225	1055
ENSG00000004799	30	37	55	42	82	194
ENSG00000004809	3	4	0	0	2	0
ENSG00000004838	16	26	7	14	19	13
ENSG00000004846	27	23	79	31	27	24
ENSG00000004848	1	4	14	19	1	2
ENSG00000004864	2809	2478	4234	4435	2772	2196
ENSG00000004866	918	812	803	688	797	682
ENSG00000004897	3866	3655	3961	4226	3941	3680
ENSG00000004939	1	0	0	0	0	0
ENSG00000004948	0	5	0	1	3	7
ENSG00000004961	2472	2066	2302	2290	2453	2037
ENSG00000004975	4228	3660	2253	1915	1713	1480
ENSG00000005001	1	0	18	10	23	17
ENSG00000005007	8339	6748	6880	6691	6286	5468
ENSG00000005020	3841	3631	3807	4211	3792	3249
ENSG00000005022	13711	12359	8735	8236	7580	6106
ENSG00000005059	1254	1486	761	879	715	705
ENSG00000005073	322	220	135	113	429	381
ENSG00000005075	1285	1011	958	862	1028	1078
ENSG00000005100	3089	2406	1888	1845	1903	1421
ENSG00000005102	1464	371	597	256	4656	1434
ENSG00000005108	23	10	72	75	57	47
ENSG00000005156	1000	898	939	1011	1057	1023
ENSG00000005175	1721	1333	1739	1491	1691	1327
ENSG00000005187	172	102	1013	491	295	152
ENSG00000005189	590	737	204	174	155	141
ENSG00000005194	2178	1808	2285	2289	1845	1549
ENSG00000005206	2182	1670	1631	1453	1736	1563
ENSG00000005238	3117	2118	3298	3371	4732	4053
ENSG00000005243	1779	1565	817	887	1322	1547
ENSG00000005249	304	166	445	279	134	65
ENSG00000005302	1654	1333	2070	2053	1824	1438
ENSG00000005339	6091	4594	5435	4905	4352	3462
ENSG00000005379	814	581	91	71	439	399
ENSG00000005381	10	4	5	6	1	0
ENSG00000005421	1	1	3	6	4	5
ENSG00000005436	538	483	549	524	479	380
ENSG00000005448	1644	1597	1402	1493	1606	1520
ENSG00000005469	1900	1324	1374	1415	1569	1129
ENSG00000005471	900	443	498	350	633	276
ENSG00000005483	3289	2520	4021	3712	3581	2967
ENSG00000005486	2558	1752	2835	2526	2374	2072
ENSG00000005513	1	5	2	1	3	0
ENSG00000005700	5194	4272	6428	6109	5027	4265
ENSG00000005801	1655	1185	1432	1175	1278	874
ENSG00000005810	3717	3301	2949	3269	2967	2566
ENSG00000005812	2080	2087	2002	2278	2325	2307
ENSG00000005844	1	1	0	0	2	4
ENSG00000005882	1509	1123	958	642	819	660
ENSG00000005884	140154	96525	164699	159105	138610	126731
ENSG00000005889	1617	1297	1662	1690	2401	2062
ENSG00000005893	27483	20177	20453	23538	15275	14259
ENSG00000005961	53	61	11	12	21	17
ENSG00000005981	4	4	0	0	0	0
ENSG00000006007	4644	3572	4211	3836	4146	3666
ENSG00000006015	1543	1292	1492	1706	1241	1203
ENSG00000006016	21	20	17	7	31	20
ENSG00000006025	1687	1336	1472	1130	1281	892
ENSG00000006042	5413	4565	3581	3832	3950	3471
ENSG00000006047	17	19	13	8	25	20
ENSG00000006059	5	5	1	0	4	3
ENSG00000006062	2189	1402	1217	1155	1589	1076
ENSG00000006071	1	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	12827	6835	12403	9240	17444	10838
ENSG00000006125	25570	23137	22944	27013	24924	23926
ENSG00000006128	0	0	0	0	1	0
ENSG00000006194	1886	1601	2226	2120	1828	1539
ENSG00000006210	3367	2501	1532	1814	1354	1487
ENSG00000006282	6718	5429	5993	5960	5883	5622
ENSG00000006283	163	150	11	2	19	13
ENSG00000006327	11917	7745	14388	12743	12971	9987
ENSG00000006377	0	1	0	0	0	0
ENSG00000006432	3280	2491	3453	3617	3940	3091
ENSG00000006451	5822	5533	6326	6345	5742	4433
ENSG00000006453	4083	3483	3719	4068	3024	2704
ENSG00000006459	285	145	485	501	589	419
ENSG00000006468	1423	760	483	351	395	226
ENSG00000006530	1595	1366	1542	1539	1581	1256
ENSG00000006534	2612	2438	2107	2350	1364	1775
ENSG00000006555	13	4	27	20	68	56
