ID	Hexagon_index
ENSG00000000003	13
ENSG00000000971	45
ENSG00000001460	58
ENSG00000001461	7
ENSG00000001497	32
ENSG00000001626	50
ENSG00000001630	42
ENSG00000002586	10
ENSG00000002587	50
ENSG00000003096	30
ENSG00000003393	54
ENSG00000003400	47
ENSG00000003402	8
ENSG00000005059	58
ENSG00000005102	50
ENSG00000005187	51
ENSG00000005249	51
ENSG00000005471	50
ENSG00000005801	54
ENSG00000005812	7
ENSG00000006025	54
ENSG00000006062	5
ENSG00000006118	48
ENSG00000006327	12
ENSG00000006468	29
ENSG00000006534	42
ENSG00000006607	19
ENSG00000006715	16
ENSG00000006747	31
ENSG00000007516	41
ENSG00000008083	26
ENSG00000008256	36
ENSG00000008394	19
ENSG00000010278	61
ENSG00000010404	12
ENSG00000011201	48
ENSG00000011258	54
ENSG00000011426	58
ENSG00000011465	38
ENSG00000011566	7
ENSG00000012822	46
ENSG00000013293	50
ENSG00000013297	50
ENSG00000013375	3
ENSG00000013561	34
ENSG00000013563	18
ENSG00000013588	46
ENSG00000014216	3
ENSG00000016864	17
ENSG00000017483	59
ENSG00000018408	60
ENSG00000019186	50
ENSG00000019582	46
ENSG00000021762	23
ENSG00000023445	61
ENSG00000023697	34
ENSG00000024422	22
ENSG00000025708	39
ENSG00000026103	17
ENSG00000026297	38
ENSG00000026508	14
ENSG00000026652	46
ENSG00000026950	27
ENSG00000027697	41
ENSG00000028277	50
ENSG00000031081	23
ENSG00000033170	30
ENSG00000033178	53
ENSG00000033327	13
ENSG00000033867	31
ENSG00000035403	22
ENSG00000036672	39
ENSG00000038295	23
ENSG00000040199	7
ENSG00000040608	42
ENSG00000041982	38
ENSG00000042062	50
ENSG00000042493	2
ENSG00000046889	28
ENSG00000047457	60
ENSG00000047634	22
ENSG00000047849	7
ENSG00000047932	23
ENSG00000048052	29
ENSG00000048828	3
ENSG00000049130	52
ENSG00000049245	7
ENSG00000049246	50
ENSG00000049249	50
ENSG00000049759	53
ENSG00000051180	59
ENSG00000051382	58
ENSG00000052126	53
ENSG00000052802	59
ENSG00000054392	14
ENSG00000055163	45
ENSG00000056291	51
ENSG00000056558	52
ENSG00000056736	52
ENSG00000057252	59
ENSG00000057294	19
ENSG00000058085	15
ENSG00000059804	13
ENSG00000060140	57
ENSG00000060642	23
ENSG00000060982	17
ENSG00000061676	7
ENSG00000062485	34
ENSG00000063660	43
ENSG00000064012	15
ENSG00000064309	48
ENSG00000064393	58
ENSG00000064601	12
ENSG00000064652	59
ENSG00000064666	41
ENSG00000064989	40
ENSG00000065320	52
ENSG00000065413	8
ENSG00000065802	5
ENSG00000065809	28
ENSG00000065833	10
ENSG00000065882	7
ENSG00000065911	56
ENSG00000065923	53
ENSG00000066322	3
ENSG00000066557	57
ENSG00000066629	14
ENSG00000066933	19
ENSG00000067057	2
ENSG00000067064	58
ENSG00000067082	61
ENSG00000067141	5
ENSG00000067167	20
ENSG00000067182	42
ENSG00000067191	35
ENSG00000067221	7
ENSG00000067445	46
ENSG00000067704	3
ENSG00000067798	51
ENSG00000067900	57
ENSG00000068028	10
ENSG00000068650	15
ENSG00000068745	5
ENSG00000069431	51
ENSG00000069849	57
ENSG00000069974	2
ENSG00000070404	20
ENSG00000070759	53
ENSG00000070961	58
ENSG00000071082	25
ENSG00000071127	42
ENSG00000071282	20
ENSG00000071539	59
ENSG00000072062	3
ENSG00000072110	40
ENSG00000072121	12
ENSG00000072163	39
ENSG00000072210	42
ENSG00000072274	35
ENSG00000072415	58
ENSG00000072958	10
ENSG00000073605	47
ENSG00000073712	8
ENSG00000073905	2
ENSG00000073910	22
ENSG00000073921	7
ENSG00000074219	31
ENSG00000074410	47
ENSG00000074416	9
ENSG00000074527	45
ENSG00000074657	25
ENSG00000074660	49
ENSG00000074855	10
ENSG00000075142	3
ENSG00000075213	50
ENSG00000075223	28
ENSG00000075239	2
ENSG00000075275	42
ENSG00000075618	40
ENSG00000075624	40
ENSG00000075711	53
ENSG00000075790	34
ENSG00000076258	53
ENSG00000076554	36
ENSG00000076706	40
ENSG00000076716	41
ENSG00000076864	37
ENSG00000077063	39
ENSG00000077264	47
ENSG00000077420	53
ENSG00000077585	53
ENSG00000077684	22
ENSG00000077713	7
ENSG00000077721	7
ENSG00000078269	50
ENSG00000078401	61
ENSG00000078668	56
ENSG00000079150	26
ENSG00000079215	38
ENSG00000079337	50
ENSG00000079459	57
ENSG00000079482	9
ENSG00000079739	23
ENSG00000079931	12
ENSG00000080298	47
ENSG00000080823	50
ENSG00000081052	38
ENSG00000081059	54
ENSG00000081853	48
ENSG00000081913	2
ENSG00000082397	36
ENSG00000082438	5
ENSG00000082497	58
ENSG00000082512	60
ENSG00000082805	7
ENSG00000083290	57
ENSG00000083444	23
ENSG00000083720	57
ENSG00000083799	32
ENSG00000084636	47
ENSG00000085117	49
ENSG00000085433	34
ENSG00000085491	34
ENSG00000085563	61
