ID	Hexagon_index	Cluster_base
ENSG00000000003	81	5
ENSG00000000971	30	6
ENSG00000001460	166	10
ENSG00000001461	58	9
ENSG00000001497	27	6
ENSG00000001626	237	1
ENSG00000001630	64	8
ENSG00000002586	22	8
ENSG00000002587	238	1
ENSG00000003096	254	5
ENSG00000003393	48	6
ENSG00000003400	149	3
ENSG00000003402	129	9
ENSG00000005059	165	10
ENSG00000005102	237	1
ENSG00000005187	240	1
ENSG00000005249	190	3
ENSG00000005471	235	1
ENSG00000005801	47	6
ENSG00000005812	59	9
ENSG00000006025	48	6
ENSG00000006062	84	5
ENSG00000006118	104	4
ENSG00000006327	33	5
ENSG00000006468	104	4
ENSG00000006534	64	8
ENSG00000006607	126	9
ENSG00000006715	71	6
ENSG00000006747	201	5
ENSG00000007516	131	9
ENSG00000008083	80	6
ENSG00000008256	169	10
ENSG00000008394	62	9
ENSG00000010278	179	7
ENSG00000010404	161	2
ENSG00000011201	193	3
ENSG00000011258	47	6
ENSG00000011426	213	10
ENSG00000011465	226	7
ENSG00000011566	36	9
ENSG00000012822	150	3
ENSG00000013293	237	1
ENSG00000013297	237	1
ENSG00000013375	101	8
ENSG00000013561	88	9
ENSG00000013563	38	9
ENSG00000013588	79	6
ENSG00000014216	24	8
ENSG00000016864	35	9
ENSG00000017483	270	10
ENSG00000018408	271	10
ENSG00000019186	238	1
ENSG00000019582	31	5
ENSG00000021762	21	8
ENSG00000023445	218	10
ENSG00000023697	262	10
ENSG00000024422	65	8
ENSG00000025708	175	7
ENSG00000026103	35	9
ENSG00000026297	224	7
ENSG00000026508	157	5
ENSG00000026652	260	2
ENSG00000026950	160	2
ENSG00000027697	93	9
ENSG00000028277	236	1
ENSG00000031081	40	8
ENSG00000033170	155	5
ENSG00000033178	252	6
ENSG00000033327	84	5
ENSG00000033867	200	6
ENSG00000035403	66	8
ENSG00000036672	221	9
ENSG00000038295	41	8
ENSG00000040199	19	8
ENSG00000040608	64	8
ENSG00000041982	179	7
ENSG00000042062	188	1
ENSG00000042493	43	8
ENSG00000046889	141	4
ENSG00000047457	229	7
ENSG00000047634	92	9
ENSG00000047849	8	8
ENSG00000047932	40	8
ENSG00000048052	185	4
ENSG00000048828	44	8
ENSG00000049130	252	6
ENSG00000049245	58	9
ENSG00000049246	240	1
ENSG00000049249	237	1
ENSG00000049759	77	6
ENSG00000051180	214	10
ENSG00000051382	166	10
ENSG00000052126	76	6
ENSG00000052802	167	10
ENSG00000054392	141	4
ENSG00000055163	14	6
ENSG00000056291	191	3
ENSG00000056558	148	3
ENSG00000056736	250	6
ENSG00000057252	270	10
ENSG00000057294	91	9
ENSG00000058085	233	4
ENSG00000059804	83	5
ENSG00000060140	210	10
ENSG00000060642	38	9
ENSG00000060982	19	8
ENSG00000061676	69	8
ENSG00000062485	122	10
ENSG00000063660	10	8
ENSG00000064012	233	4
ENSG00000064309	244	3
ENSG00000064393	263	10
ENSG00000064601	16	5
ENSG00000064652	168	10
ENSG00000064666	96	8
ENSG00000064989	130	9
ENSG00000065320	148	3
ENSG00000065413	99	8
ENSG00000065802	46	6
ENSG00000065809	104	4
ENSG00000065833	43	8
ENSG00000065882	59	9
ENSG00000065911	87	9
ENSG00000065923	76	6
ENSG00000066322	24	8
ENSG00000066557	263	10
ENSG00000066629	158	2
ENSG00000066933	181	8
ENSG00000067057	43	8
ENSG00000067064	265	10
ENSG00000067082	179	7
ENSG00000067141	46	6
ENSG00000067167	229	7
ENSG00000067182	41	8
ENSG00000067191	125	9
ENSG00000067221	69	8
ENSG00000067445	260	2
ENSG00000067704	44	8
ENSG00000067798	254	5
ENSG00000067900	124	9
ENSG00000068028	8	8
ENSG00000068650	140	4
ENSG00000068745	140	4
ENSG00000069431	241	3
ENSG00000069849	263	10
ENSG00000069974	231	8
ENSG00000070404	134	7
ENSG00000070759	198	6
ENSG00000070961	263	10
ENSG00000071082	13	6
ENSG00000071127	41	8
ENSG00000071282	133	8
ENSG00000071539	268	10
ENSG00000072062	19	8
ENSG00000072110	132	8
ENSG00000072121	5	5
ENSG00000072163	223	7
ENSG00000072210	64	8
ENSG00000072274	125	9
ENSG00000072415	166	10
ENSG00000072958	10	8
ENSG00000073605	149	3
ENSG00000073712	128	9
ENSG00000073905	100	8
ENSG00000073910	92	9
ENSG00000073921	101	8
ENSG00000074219	114	6
ENSG00000074410	260	2
ENSG00000074416	231	8
ENSG00000074527	14	6
ENSG00000074657	17	5
ENSG00000074660	105	6
ENSG00000074855	43	8
ENSG00000075142	44	8
ENSG00000075213	238	1
ENSG00000075223	234	4
ENSG00000075239	43	8
ENSG00000075275	65	8
ENSG00000075618	132	8
ENSG00000075624	132	8
ENSG00000075711	251	6
ENSG00000075790	262	10
ENSG00000076258	248	3
ENSG00000076554	92	9
ENSG00000076706	133	8
ENSG00000076716	93	9
ENSG00000076864	170	10
ENSG00000077063	175	7
ENSG00000077264	245	3
ENSG00000077420	198	6
ENSG00000077585	108	6
ENSG00000077684	62	9
ENSG00000077713	69	8
ENSG00000077721	58	9
ENSG00000078269	240	1
ENSG00000078401	229	7
ENSG00000078668	122	10
ENSG00000079150	32	5
ENSG00000079215	225	7
ENSG00000079337	189	1
ENSG00000079459	124	9
ENSG00000079482	42	8
ENSG00000079739	39	8
ENSG00000079931	13	6
ENSG00000080298	207	2
ENSG00000080823	142	1
ENSG00000081052	222	7
ENSG00000081059	200	6
ENSG00000081853	259	2
ENSG00000081913	43	8
ENSG00000082397	169	10
ENSG00000082438	140	4
ENSG00000082497	263	10
ENSG00000082512	170	10
