ID	Hexagon_index	Cluster_base	data.AB_D_CPM_logFC	data.ATC_D_CPM_logFC	data.LY_D_CPM_logFC
ENSG00000000003	81	5	-0.418083998549538	-0.281557230453698	-0.366615100935022
ENSG00000000971	30	6	-0.410159967868732	-0.422787118638418	0.0064606609478437
ENSG00000001460	166	10	0.508005256194745	0.200025959364141	0.304106168142489
ENSG00000001461	58	9	0.21349448492052	0.187895460821501	0.189349270389005
ENSG00000001497	27	6	-0.152084568109543	-0.251289205873242	-0.209943274154361
ENSG00000001626	237	1	-1.24054997733949	-1.10143383975813	-1.67936091677129
ENSG00000001630	64	8	0.23220714585995	0.299694316426813	0.54872748502769
ENSG00000002586	22	8	0.144732107299912	0.254353149842156	0.361235288306518
ENSG00000002587	238	1	-1.32797051267006	-1.12216465570359	-1.08494103518395
ENSG00000003096	254	5	-0.445327178694927	-0.296227345980451	-0.83587788223618
ENSG00000003393	48	6	-0.124867157236998	-0.366925191292904	-0.265483573629891
ENSG00000003400	149	3	-0.458119672659081	-0.453775280232168	-0.320358712700109
ENSG00000003402	129	9	0.491625437795556	0.36302857087327	0.581751253019288
ENSG00000005059	165	10	0.513475838454181	0.231422290662751	0.20700811047686
ENSG00000005102	237	1	-1.70594182149078	-1.19115993570269	-1.47007138874232
ENSG00000005187	240	1	-0.476926375581757	-1.01780034058659	-0.722364643643676
ENSG00000005249	190	3	-0.597928200120978	-0.645736974454935	-0.799715801838199
ENSG00000005471	235	1	-0.750742234836479	-0.482389309246636	-0.965292701458287
ENSG00000005801	47	6	-0.212259848867486	-0.260926401619792	-0.319748440598452
ENSG00000005812	59	9	0.273940251407	0.210158265033079	0.216483957003979
ENSG00000006025	48	6	-0.0670788974173639	-0.356855582815462	-0.29377245100851
ENSG00000006062	84	5	-0.372972404409158	-0.0513145934763237	-0.334094371451722
ENSG00000006118	104	4	-0.63865924566954	-0.400614350726139	-0.45869945461803
ENSG00000006327	33	5	-0.352239424466252	-0.151104903250705	-0.14927143168909
ENSG00000006468	104	4	-0.634214076281483	-0.434358565315667	-0.574063715419709
ENSG00000006534	64	8	0.169770669338754	0.18133751214609	0.607115248882562
ENSG00000006607	126	9	0.385673764308549	0.372985614980819	0.285658679757059
ENSG00000006715	71	6	-0.160658657326135	-0.164373847024827	-0.217742495260563
ENSG00000006747	201	5	-0.243461682948995	-0.292421938939453	-0.578181789930775
ENSG00000007516	131	9	0.154085738148447	0.340200632768686	0.845744380349026
ENSG00000008083	80	6	-0.34723472030135	-0.327179131978729	-0.241113586551966
ENSG00000008256	169	10	0.457453378901553	0.369041805280681	0.400685067211776
ENSG00000008394	62	9	0.458908881249952	0.179459237330283	0.48255830783804
ENSG00000010278	179	7	0.793587264672885	0.811588338757267	0.568306153116304
