ID	Hexagon_index	Cluster_base
30	32	1
20	53	1
37	53	1
46	53	1
38	54	1
88	54	1
91	54	1
13	55	1
71	55	1
90	55	1
44	56	1
76	56	1
28	18	2
67	34	2
48	36	2
47	57	2
74	57	2
2	58	2
3	58	2
10	58	2
73	58	2
83	58	2
99	58	2
58	59	2
75	59	2
31	60	2
32	60	2
61	60	2
77	60	2
49	61	2
68	61	2
41	1	3
25	2	3
40	2	3
60	8	3
62	8	3
45	9	3
79	9	3
21	19	3
12	38	3
24	38	3
56	38	3
86	38	3
53	5	4
54	6	4
80	6	4
82	6	4
59	13	4
65	13	4
14	14	4
87	14	4
39	15	4
95	16	4
64	30	4
89	30	4
22	50	4
96	50	4
97	50	4
51	51	4
55	51	4
66	51	4
4	52	4
17	45	5
26	45	5
36	46	5
57	46	5
98	46	5
9	47	5
16	47	5
19	47	5
35	47	5
63	47	5
5	48	5
34	49	5
50	49	5
85	49	5
78	4	6
8	11	6
42	11	6
52	11	6
84	11	6
69	24	6
27	25	6
94	44	6
100	44	6
15	39	7
92	39	7
1	40	7
7	40	7
43	40	7
93	40	7
6	41	7
29	41	7
33	41	7
18	42	7
23	42	7
70	42	7
72	42	7
81	42	7
11	43	7
