ID	Hexagon_index
1	30
2	32
3	50
4	6
5	48
6	8
7	58
8	52
9	45
10	56
11	8
12	58
13	2
14	43
15	40
16	38
17	42
18	21
19	45
20	58
21	12
22	52
23	3
24	42
25	29
26	2
27	57
28	53
29	55
30	42
31	24
32	46
33	45
34	34
35	38
36	55
37	60
38	40
39	5
40	33
41	18
42	47
43	46
44	38
45	58
46	39
47	54
48	23
49	54
50	53
51	50
52	59
53	51
54	42
55	1
56	58
57	61
58	45
59	31
60	9
61	11
62	11
63	43
64	48
65	14
66	22
67	40
68	50
69	16
70	54
71	46
72	42
73	54
74	35
75	59
76	39
77	19
78	1
79	47
80	57
81	27
82	48
83	52
84	49
85	15
86	61
87	60
88	56
89	15
90	48
91	56
92	50
93	59
94	24
95	44
96	61
97	60
98	46
99	50
100	56
